date,sales,units_sold,COGs,mean_discount,mean_selling_price,mean_tranaction_sales,mean_units_sold,mean_COGs
2018-07-31,19462.449999999997,2955.0,7495.28,0.01554285714285713,6.295159420289854,56.41289855072463,8.565217391304348,21.72544927536232
2018-08-01,18040.76,3041.0,6989.840000000005,0.018483146067415687,5.998948863636361,51.25215909090909,8.639204545454545,19.857500000000012
2018-08-02,14683.599999999991,2497.0,5600.909999999996,0.012327868852459026,6.065499999999998,48.9453333333333,8.323333333333334,18.669699999999988
2018-08-03,10468.599999999999,1933.0,3998.6600000000008,0.01157446808510639,5.779017094017096,44.73760683760683,8.260683760683762,17.0882905982906
2018-08-04,7727.799999999997,1193.0,2962.5199999999995,0.01927272727272729,7.056646341463413,47.120731707317056,7.274390243902439,18.064146341463413
2018-08-05,6399.840000000002,1026.0,2407.9299999999994,0.010331125827814576,6.590872483221477,42.95194630872484,6.885906040268456,16.160604026845633
2018-08-06,16267.279999999986,2938.0,6193.820000000002,0.01445983379501385,5.620840336134454,45.566610644257665,8.2296918767507,17.349635854341745
2018-08-07,17755.13999999999,3010.0,6783.690000000003,0.0132038834951456,6.048190709046446,43.41110024449875,7.359413202933985,16.586039119804408
2018-08-08,12566.539999999997,2256.0,4797.619999999999,0.013802816901408459,5.557106227106224,46.03128205128204,8.263736263736265,17.57369963369963
2018-08-09,12149.699999999993,2186.0,4688.250000000003,0.021153846153846155,5.8741796875,47.459765624999974,8.5390625,18.31347656250001
2018-08-10,12144.569999999998,2091.0,4643.979999999999,0.014297520661157036,6.2731512605042,51.027605042016795,8.785714285714286,19.512521008403354
2018-08-11,3969.72,771.0,1547.6999999999996,0.011932773109243705,5.34931623931624,33.92923076923077,6.589743589743589,13.228205128205124
2018-08-12,4835.3499999999985,894.0,1851.7599999999998,0.005692307692307693,5.772538461538461,37.194999999999986,6.876923076923077,14.244307692307691
2018-08-13,19739.37,3236.0,7465.580000000005,0.017030567685589457,6.182278761061934,43.67117256637168,7.15929203539823,16.516769911504436
2018-08-14,17305.070000000003,3045.0,6612.280000000006,0.014666666666666616,5.91843749999999,45.06528645833334,7.9296875,17.219479166666684
2018-08-15,20223.440000000002,3200.0,7631.969999999995,0.014056603773584886,6.3526201923076835,48.61403846153847,7.6923076923076925,18.346081730769217
2018-08-16,18369.930000000004,3352.0,6986.670000000001,0.010629370629370614,5.796857142857133,43.73792857142858,7.980952380952381,16.634928571428574
2018-08-17,11201.369999999995,1928.0,4296.069999999999,0.018135593220338985,6.28304721030043,48.07454935622316,8.274678111587983,18.43806866952789
2018-08-18,4972.899999999999,893.0,1901.0000000000005,0.011472868217054266,5.992125984251968,39.15669291338582,7.031496062992126,14.968503937007878
2018-08-19,6111.459999999997,1160.0,2321.2599999999993,0.006380368098159512,5.3898159509202435,37.49361963190182,7.116564417177914,14.240858895705518
2018-08-20,25705.860000000008,4083.0,9719.830000000009,0.018964143426294728,6.612688391038682,52.354093686354396,8.315682281059063,19.79598778004075
2018-08-21,19526.549999999992,3541.0,7452.5399999999945,0.01570469798657715,5.671050228310491,44.58116438356163,8.084474885844749,17.0149315068493
2018-08-22,17661.540000000015,3141.0,6771.789999999999,0.013887399463806948,6.072833787465935,48.12408719346053,8.55858310626703,18.451743869209807
2018-08-23,16161.930000000002,2817.0,6131.6600000000035,0.013489736070381241,6.041875,48.10098214285715,8.383928571428571,18.248988095238104
2018-08-24,16556.26999999998,2376.0,6266.939999999997,0.02073800738007378,7.516802973977694,61.54747211895903,8.83271375464684,23.29717472118958
2018-08-25,5032.629999999998,893.0,1935.950000000001,0.008245614035087723,6.130090090090089,45.339009009009,8.045045045045045,17.440990990991
2018-08-26,5913.109999999997,896.0,2268.0500000000006,0.014380165289256208,6.702711864406779,50.11110169491523,7.593220338983051,19.220762711864413
2018-08-27,24965.36,4067.0,9559.570000000005,0.016163873370577227,6.350564971751389,47.015743879472694,7.659133709981168,18.00295668549907
2018-08-28,21340.40999999999,3402.0,8160.4800000000005,0.020772946859903295,6.450197044334964,52.562586206896526,8.379310344827585,20.09970443349754
2018-08-29,15506.020000000008,2502.0,5927.269999999998,0.014253521126760538,6.5043181818181806,44.051193181818206,7.107954545454546,16.83883522727272
2018-08-30,16230.399999999989,2409.0,6130.430000000002,0.014662379421221849,6.959108910891088,53.56567656765673,7.9504950495049505,20.23244224422443
2018-08-31,19026.59000000001,3846.0,7428.310000000005,0.014040816326530623,6.207603305785126,78.62227272727277,15.892561983471074,30.695495867768617
2018-09-01,6747.949999999998,1186.0,2540.959999999998,0.013698630136986311,5.875205479452056,46.21883561643834,8.123287671232877,17.403835616438343
2018-09-02,4808.839999999997,734.0,1842.14,0.014141414141414147,6.821734693877549,49.06979591836732,7.489795918367347,18.79734693877551
2018-09-03,8857.129999999996,1429.0,3394.810000000001,0.013762376237623773,6.414696969696968,44.73297979797977,7.217171717171717,17.145505050505054
2018-09-04,29493.909999999974,4653.0,11254.100000000017,0.020170357751277533,6.545259515570913,51.02752595155705,8.050173010380623,19.47076124567477
2018-09-05,19668.519999999997,3202.0,7548.890000000001,0.015609756097560943,6.476724137931027,48.444630541871916,7.886699507389163,18.593325123152713
2018-09-06,23130.96999999999,3648.0,8809.840000000004,0.017767653758542095,6.733426573426561,53.91834498834496,8.503496503496503,20.535757575757586
2018-09-07,13569.889999999998,2286.0,5092.729999999999,0.015364238410596016,6.224107744107745,45.68986531986531,7.696969696969697,17.14723905723905
2018-09-08,7877.959999999997,1114.0,2999.85,0.013742331288343568,6.730127388535031,50.178089171974506,7.095541401273885,19.10732484076433
2018-09-09,6228.690000000004,945.0,2383.990000000001,0.010972222222222229,6.931888111888111,43.55727272727275,6.608391608391608,16.67125874125875
2018-09-10,26032.090000000004,3838.0,9921.210000000005,0.017328244274809074,7.071976744186027,50.44978682170543,7.437984496124031,19.227151162790708
2018-09-11,24535.30000000001,3445.0,9277.690000000004,0.018540772532188794,7.5259518599562165,53.68774617067836,7.538293216630197,20.3012910284464
2018-09-12,13766.890000000001,2109.0,5243.709999999999,0.013515358361774754,6.781874999999999,47.801701388888894,7.322916666666667,18.207326388888887
2018-09-13,17814.28999999998,3027.0,6784.500000000003,0.012645502645502632,6.331827956989239,47.88787634408597,8.137096774193548,18.23790322580646
2018-09-14,12540.99999999999,1761.0,4785.51,0.019917355371900827,7.29296610169491,53.13983050847454,7.461864406779661,20.277584745762713
2018-09-15,8244.419999999998,1289.0,3133.8399999999992,0.027260273972602757,6.946111111111111,57.25291666666666,8.95138888888889,21.76277777777777
2018-09-16,10428.070000000005,1447.0,3966.840000000001,0.024615384615384605,7.244338624338626,55.174973544973575,7.656084656084656,20.988571428571433
2018-09-17,28874.580000000024,4437.0,10929.23000000001,0.01952554744525536,6.695922509225066,53.27413284132846,8.186346863468634,20.16463099630998
2018-09-18,19860.880000000005,3213.0,7450.15,0.018588807785888003,6.6248138957816245,49.2825806451613,7.972704714640199,18.486724565756823
2018-09-19,20011.180000000004,2998.0,7611.209999999998,0.017829457364341078,6.771286089238828,52.52278215223098,7.868766404199475,19.976929133858263
