date,sales
2017-06-27,10409.81999999999
2017-06-28,8962.879999999992
2017-06-29,7892.749999999995
2017-06-30,4205.74
2017-07-01,1728.95
2017-07-02,2424.7000000000003
2017-07-03,5011.86
2017-07-04,2154.6000000000004
2017-07-05,9145.029999999999
2017-07-06,7762.289999999997
2017-07-07,4625.189999999999
2017-07-08,3847.6599999999994
2017-07-09,5545.240000000003
2017-07-10,8263.579999999998
2017-07-11,8348.199999999999
2017-07-12,7234.159999999998
2017-07-13,6509.179999999999
2017-07-14,7387.809999999998
2017-07-15,2779.690000000002
2017-07-16,3061.519999999999
2017-07-17,10157.179999999986
2017-07-18,8249.969999999998
2017-07-19,6928.089999999999
2017-07-20,6671.629999999998
2017-07-21,4892.000000000001
2017-07-22,2634.68
2017-07-23,2395.4400000000005
2017-07-24,8198.880000000001
2017-07-25,11372.380000000001
2017-07-26,7312.339999999999
2017-07-27,10565.469999999998
2017-07-28,5952.229999999998
2017-07-29,1748.5500000000002
2017-07-30,3668.8400000000006
2017-07-31,12670.539999999988
2017-08-01,8708.079999999996
2017-08-02,8413.56
2017-08-03,10071.199999999999
2017-08-04,5371.330000000002
2017-08-05,3495.79
2017-08-06,3548.8
2017-08-07,13032.889999999989
2017-08-08,11417.519999999999
2017-08-09,11904.479999999996
2017-08-10,6652.440000000004
2017-08-11,6714.41
2017-08-12,3951.3000000000006
2017-08-13,3714.890000000001
2017-08-14,14393.289999999995
2017-08-15,12422.150000000001
2017-08-16,11510.399999999992
2017-08-17,8257.919999999998
2017-08-18,8957.100000000002
2017-08-19,4334.23
2017-08-20,4473.499999999999
2017-08-21,11989.47
2017-08-22,8115.62
2017-08-23,13812.849999999995
2017-08-24,7508.739999999997
2017-08-25,5874.800000000001
2017-08-26,3891.19
2017-08-27,4170.85
2017-08-28,11661.98
2017-08-29,14959.869999999988
2017-08-30,9051.790000000003
2017-08-31,9672.099999999997
2017-09-01,13613.890000000003
2017-09-02,2255.5299999999997
2017-09-03,3462.7399999999993
2017-09-04,8013.89
2017-09-05,16730.019999999993
2017-09-06,10294.74
2017-09-07,13080.159999999987
2017-09-08,9226.989999999994
2017-09-09,3757.11
2017-09-10,4457.599999999998
2017-09-11,13091.729999999994
2017-09-12,13290.839999999991
2017-09-13,16653.480000000003
2017-09-14,16060.820000000002
2017-09-15,9386.530000000002
2017-09-16,5154.200000000001
2017-09-17,4131.530000000001
2017-09-18,19635.74999999999
2017-09-19,14855.849999999986
2017-09-20,11820.32
2017-09-21,9907.070000000002
2017-09-22,9429.999999999996
2017-09-23,7525.419999999997
2017-09-24,3370.630000000001
2017-09-25,15890.279999999993
2017-09-26,20002.04999999999
2017-09-27,16094.490000000009
2017-09-28,8560.329999999994
2017-09-29,9872.079999999994
2017-09-30,3221.9700000000003
2017-10-01,3193.250000000001
2017-10-02,23481.42999999998
2017-10-03,16971.41
2017-10-04,20008.58999999999
2017-10-05,16124.520000000002
2017-10-06,9260.230000000003
2017-10-07,4307.129999999999
2017-10-08,6892.330000000002
2017-10-09,19384.409999999985
2017-10-10,16472.71999999999
2017-10-11,11577.569999999998
2017-10-12,17820.819999999985
2017-10-13,8876.339999999995
2017-10-14,4694.229999999998
2017-10-15,4598.000000000001
2017-10-16,18347.56
2017-10-17,19888.329999999994
2017-10-18,14522.929999999995
2017-10-19,11548.769999999995
2017-10-20,8800.49
2017-10-21,2885.3199999999993
2017-10-22,2073.23
2017-10-23,16428.769999999993
2017-10-24,13657.009999999995
2017-10-25,15056.889999999992
2017-10-26,10188.240000000002
2017-10-27,6867.829999999999
2017-10-28,1851.13
2017-10-29,4845.399999999999
2017-10-30,17798.139999999996
2017-10-31,10211.459999999995
2017-11-01,14250.529999999999
2017-11-02,11583.039999999995
2017-11-03,10146.67
2017-11-04,3923.2400000000002
2017-11-05,2153.5800000000004
2017-11-06,17815.85000000001
2017-11-07,15158.119999999994
2017-11-08,12064.949999999988
2017-11-09,11037.759999999995
2017-11-10,13550.119999999997
2017-11-11,3172.669999999999
2017-11-12,2273.5500000000006
2017-11-13,22558.120000000024
2017-11-14,13202.679999999998
2017-11-15,13030.319999999994
2017-11-16,18108.51
2017-11-17,9642.749999999996
2017-11-18,2603.91
2017-11-19,3842.83
2017-11-20,19453.829999999998
2017-11-21,17096.280000000002
2017-11-22,5906.869999999998
2017-11-23,2762.2600000000007
2017-11-24,7196.920000000001
2017-11-25,9045.350000000002
2017-11-26,6066.9400000000005
2017-11-27,21559.18000000002
2017-11-28,21828.860000000008
2017-11-29,10408.019999999995
2017-11-30,11965.649999999992
2017-12-01,11787.069999999994
2017-12-02,5535.85
2017-12-03,5172.020000000001
2017-12-04,27301.950000000015
2017-12-05,22658.869999999988
2017-12-06,17268.019999999993
2017-12-07,14729.769999999991
2017-12-08,13741.43
